Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Azerbaijan,AZE,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8789.71453,8593.740529,6551.538525,4962.174643,3931.127241,3427.551085,3437.222676,3601.669127,3924.410643,4177.989708,4603.769866,5020.494928,5453.530244,5964.878379,6460.055025,8182.311814,10882.23467,13499.26835,14618.81542,15660.00236,16215.8472,15754.15236,15888.67487,16600.87997,16853.56847,16828.99016,16131.97213,15929.39963,16010.98904,
Burundi,BDI,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027.39666,1054.315509,1042.367169,958.3624093,905.8902826,821.8725981,747.0060628,727.6815941,754.4297479,737.0908256,717.9730215,716.2635945,728.1859798,697.9292456,708.8337203,692.5698189,706.7467009,707.4886958,717.7927118,721.0631403,733.7277228,739.219255,748.0755206,760.6990696,768.4698369,715.5498861,689.0148917,670.7770725,660.2656371,
Belgium,BEL,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30647.82576,31093.86556,31441.98181,31018.14406,31920.56074,32613.41253,33068.39712,34212.48173,34813.85524,35971.85194,37188.63945,37361.71791,37856.86017,37990.64819,39201.5252,39802.96753,40532.26826,41623.43788,41619.3301,40355.56471,41085.9175,41284.15101,41125.24116,41013.99211,41344.63628,41820.82683,42214.02461,42781.05782,43217.95224,
Benin,BEN,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1462.677421,1473.862526,1465.570579,1497.74264,1476.539343,1515.06774,1531.642807,1571.169061,1585.785066,1621.900868,1666.467464,1703.01513,1728.696879,1734.6953,1757.902979,1735.97415,1752.957526,1805.622141,1841.187388,1831.881418,1818.778461,1820.889304,1855.936331,1934.622615,2001.052,1987.14192,2009.661019,2069.28528,2151.54317,
Burkina Faso,BFA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844.3421676,896.5984778,874.8064446,880.8914925,868.4635323,893.2406808,964.5869206,997.3647514,1040.667438,1086.616198,1075.395337,1114.202253,1129.740538,1183.09488,1200.417062,1266.361537,1305.924971,1338.838375,1393.697088,1392.200286,1423.377706,1472.715841,1521.45154,1562.299949,1582.330098,1596.334581,1642.475034,1696.234138,1755.592908,
Bangladesh,BGD,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1325.592071,1340.26166,1382.000373,1416.074705,1440.012252,1481.790551,1516.162581,1551.135707,1597.897478,1639.030699,1692.422118,1745.120844,1779.331888,1831.677221,1896.763311,1990.953597,2095.369783,2215.925221,2322.426362,2412.501702,2518.434178,2650.729933,2791.172098,2924.992099,3067.032884,3231.695237,3424.01066,3634.316954,3879.161524,
Bulgaria,BGR,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9296.942006,8596.50399,8057.394547,8001.700746,8174.886258,8446.239261,8549.738325,8508.287921,9109.059981,8390.065112,8833.436874,9350.775793,10123.35941,10729.99999,11507.04178,12419.91513,13374.90299,14463.16739,15442.1348,14984.58994,15283.27471,15676.13334,15772.07928,15938.93362,16324.33748,16999.1064,17792.67814,18606.21392,19320.75123,
Bahrain,BHR,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35113.33294,37997.01577,39506.25431,43499.33256,42334.76076,42896.86644,43504.66196,43624.0861,44315.60367,44562.61983,44942.57189,43887.32286,43147.61376,43187.66557,43355.51463,43202.00103,42672.90253,42754.27056,42216.21681,40715.56557,40570.60108,40168.29077,40968.96674,42692.59943,43847.90905,43926.60212,43731.76559,43320.44036,41973.302,
Bahamas,BHS,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31005.63649,29164.39832,27519.30268,27090.76606,27459.91038,28218.5423,29017.43301,29267.49067,30306.2847,32088.7825,32972.94064,33328.02453,33668.4425,32662.02672,32354.69962,32838.9943,33037.61677,32884.12884,31531.87163,29703.42492,29706.90851,29503.70807,30079.20306,29663.34536,29342.53862,29366.0597,28585.35513,28705.2785,,
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475.949717,1832.991135,3523.037502,4770.528444,5517.289938,6032.383854,6350.894354,6622.678492,6966.492327,7239.786776,7677.287206,8347.23916,8799.214285,9320.989898,9849.102572,9600.238648,9763.587785,9976.479662,10048.75934,10466.07505,10770.16362,11273.52912,11776.13697,12274.60832,12756.0031,
